Houshold_size,Food_safety_importance,Different_plates,Thermometer,Different_utensil,Different_cutting_boards,Not_leaving_food_out,Pork,Poultry,Beef,Sheep_Goat,Fish,Ground_Meat,Wash_Any
3,4,always,usually,always,always,seldom,0,0,0,0,0,0,0
3,4,always,always,always,always,usually,0,0,0,0,0,0,0
3,3,always,never,usually,never,about half the time,0,0,0,NA,0,0,NA
3,4,always,always,always,always,always,0,0,0,0,0,0,0
2,4,always,always,always,always,usually,0,0,0,0,0,0,0
1,4,always,sometimes,always,always,about half the time,0,0,0,0,0,0,0
2,5,always,always,always,always,always,0,0,0,0,1,0,1
4,4,always,usually,usually,always,about half the time,0,0,0,0,0,0,0
2,4,always,about half the time,usually,always,always,0,0,0,NA,0,0,NA
4,4,always,always,usually,always,about half the time,0,0,0,NA,0,0,NA
5,3,always,never,about half the time,always,seldom,0,1,0,1,1,0,1
1,5,always,seldom,always,always,usually,NA,0,NA,NA,0,0,NA
5,4,always,never,usually,always,usually,0,0,0,0,0,0,0
2,5,always,about half the time,always,always,usually,0,0,0,0,0,0,0
2,4,always,about half the time,about half the time,never,usually,0,0,0,0,0,0,0
2,4,about half the time,never,always,always,about half the time,0,0,0,0,0,0,0
2,2,always,never,never,seldom,usually,0,0,0,0,0,0,0
5,3,usually,usually,sometimes,always,about half the time,0,0,0,0,0,0,0
2,3,always,usually,always,always,about half the time,0,0,0,0,0,0,0
2,5,always,usually,always,always,sometimes,0,0,0,0,0,0,0
3,4,usually,usually,usually,usually,usually,0,0,0,0,0,0,0
5,5,always,sometimes,always,always,usually,0,0,0,0,0,0,0
2,4,sometimes,usually,sometimes,about half the time,sometimes,0,0,0,0,1,0,1
4,4,always,usually,usually,always,about half the time,0,0,0,NA,0,0,NA
3,3,always,sometimes,seldom,usually,always,0,0,0,0,0,0,0
1,5,always,always,always,always,always,0,0,NA,NA,0,NA,NA
3,4,always,seldom,sometimes,always,usually,0,0,0,0,0,0,0
5,5,always,always,always,sometimes,sometimes,0,0,0,0,1,0,1
2,3,seldom,never,always,usually,about half the time,0,0,0,0,0,0,0
2,3,usually,about half the time,about half the time,usually,about half the time,0,0,0,0,0,0,0
2,5,always,about half the time,always,always,always,0,0,0,0,0,0,0
1,5,always,always,usually,always,always,0,0,0,0,0,0,0
1,4,usually,about half the time,always,usually,sometimes,0,0,0,0,0,0,0
4,4,always,never,always,always,always,0,0,0,0,0,0,0
2,4,always,about half the time,usually,always,about half the time,0,0,0,0,0,0,0
5,4,usually,usually,sometimes,always,about half the time,0,0,0,0,0,0,0
2,3,always,about half the time,always,always,seldom,0,0,0,0,0,0,0
1,4,always,about half the time,always,always,about half the time,0,0,0,0,1,0,1
4,5,always,sometimes,always,always,usually,0,0,0,1,0,0,1
2,5,always,always,always,always,always,0,0,0,0,0,0,0
4,4,always,usually,about half the time,always,usually,0,0,0,0,0,0,0
2,3,always,about half the time,about half the time,sometimes,seldom,NA,1,0,NA,NA,0,1
2,5,always,never,seldom,usually,about half the time,0,0,0,0,0,0,0
4,4,always,usually,always,always,usually,0,0,0,0,1,0,1
2,4,always,usually,about half the time,always,about half the time,0,0,0,0,0,0,0
3,3,always,always,always,always,usually,0,0,0,0,0,0,0
1,4,always,always,always,always,usually,0,0,0,0,0,0,0
4,5,always,about half the time,about half the time,always,usually,0,0,0,0,0,0,0
4,3,always,sometimes,usually,seldom,seldom,0,0,0,0,0,0,0
3,4,always,never,always,always,about half the time,0,0,0,0,0,0,0
1,4,always,sometimes,about half the time,always,seldom,0,0,0,0,0,0,0
2,4,always,sometimes,usually,always,sometimes,0,0,0,0,0,0,0
2,3,always,sometimes,always,always,about half the time,0,0,0,0,0,0,0
4,4,always,about half the time,always,always,about half the time,1,1,1,NA,1,0,1
4,5,always,usually,always,always,usually,0,0,0,0,0,0,0
6,4,always,usually,about half the time,always,usually,0,0,0,0,0,0,0
1,5,always,always,always,always,usually,0,1,0,0,0,0,1
4,4,always,never,always,always,usually,0,0,0,0,0,0,0
2,4,always,never,about half the time,always,about half the time,NA,0,NA,NA,0,NA,NA
3,5,always,usually,usually,always,about half the time,0,0,0,0,0,0,0
2,4,always,about half the time,usually,always,usually,0,0,0,0,0,0,0
3,5,always,seldom,always,always,about half the time,NA,0,0,NA,NA,0,NA
4,4,always,usually,always,always,always,0,0,0,0,0,0,0
4,3,never,about half the time,always,always,about half the time,NA,1,0,0,0,0,1
1,4,always,seldom,sometimes,always,usually,NA,0,0,NA,NA,0,NA
1,5,always,never,always,always,always,0,0,0,0,0,0,0
4,4,usually,always,always,always,usually,1,1,1,1,1,1,1
2,4,about half the time,usually,about half the time,sometimes,about half the time,0,0,0,0,0,0,0
2,4,always,sometimes,always,always,usually,0,0,0,0,0,0,0
3,4,always,about half the time,always,always,always,0,0,0,0,0,0,0
3,5,always,always,always,always,seldom,0,0,0,0,0,0,0
2,3,usually,sometimes,usually,always,usually,0,0,0,0,0,0,0
3,4,usually,seldom,seldom,always,always,0,1,0,0,0,0,1
2,4,always,usually,always,always,usually,0,0,0,0,0,0,0
1,4,always,usually,usually,usually,about half the time,0,0,0,0,0,0,0
2,5,always,usually,usually,always,usually,0,0,0,0,0,0,0
5,4,always,sometimes,always,always,always,0,0,0,0,0,0,0
2,5,always,usually,about half the time,always,always,0,0,0,0,0,0,0
3,4,usually,seldom,seldom,always,usually,0,0,0,0,0,0,0
4,4,always,always,usually,always,usually,0,0,0,0,0,0,0
4,5,always,always,always,always,always,0,0,0,0,0,0,0
1,3,always,about half the time,always,always,about half the time,1,0,0,NA,NA,NA,1
1,4,always,about half the time,usually,always,sometimes,1,1,1,NA,NA,0,1
2,4,always,usually,always,always,usually,1,1,0,0,1,0,1
2,5,always,seldom,always,always,usually,0,0,0,0,0,0,0
4,4,always,never,always,always,about half the time,0,0,0,0,0,0,0
3,5,always,never,always,always,about half the time,0,0,0,NA,NA,0,NA
1,5,always,usually,always,always,usually,0,0,0,0,0,0,0
1,4,always,usually,usually,always,always,0,0,0,NA,1,0,1
2,4,always,never,always,always,about half the time,0,0,0,0,0,0,0
4,5,always,never,always,always,always,0,0,0,0,0,0,0
1,4,always,always,always,always,about half the time,0,0,0,NA,NA,0,NA
3,5,always,always,always,always,always,NA,NA,NA,NA,NA,NA,NA
3,3,always,never,always,always,usually,0,0,0,0,0,0,0
2,4,usually,usually,usually,usually,about half the time,0,0,0,0,1,0,1
2,3,always,never,usually,always,about half the time,0,0,0,0,0,0,0
1,4,always,seldom,never,always,about half the time,0,0,0,0,0,0,0
1,4,always,never,about half the time,always,usually,0,0,0,0,0,0,0
1,1,sometimes,never,sometimes,usually,usually,0,0,0,0,1,0,1
5,4,usually,never,always,always,usually,1,1,NA,NA,1,0,1
5,3,about half the time,never,usually,usually,seldom,1,1,1,1,1,0,1
3,5,always,never,always,always,always,0,0,0,0,0,0,0
5,3,always,sometimes,always,always,seldom,0,0,0,0,0,0,0
3,5,always,usually,always,always,about half the time,0,0,0,0,1,0,1
4,4,usually,never,about half the time,sometimes,seldom,0,0,0,NA,0,0,NA
4,4,usually,always,usually,about half the time,sometimes,NA,1,NA,NA,1,0,1
5,4,always,sometimes,sometimes,always,usually,0,0,0,NA,0,0,NA
2,4,always,usually,seldom,always,sometimes,0,0,0,NA,0,0,NA
4,4,usually,usually,about half the time,sometimes,usually,0,0,1,1,0,0,1
2,4,always,never,always,always,about half the time,0,0,0,0,1,0,1
6,3,always,never,usually,sometimes,usually,0,0,1,0,0,0,1
2,3,about half the time,usually,about half the time,sometimes,usually,0,0,0,0,1,0,1
1,3,always,about half the time,usually,always,about half the time,0,1,0,0,1,0,1
4,4,always,sometimes,usually,always,about half the time,0,0,0,0,1,0,1
1,4,always,usually,usually,usually,about half the time,0,0,0,0,NA,0,NA
1,4,always,usually,usually,always,usually,0,0,0,0,0,0,0
4,4,always,sometimes,always,always,usually,0,0,0,0,0,0,0
2,5,always,usually,always,always,always,0,0,0,0,0,0,0
4,4,always,about half the time,usually,always,always,0,0,0,0,0,0,0
3,5,usually,about half the time,always,always,about half the time,NA,0,0,0,0,0,NA
1,4,always,always,sometimes,always,usually,NA,0,0,NA,0,NA,NA
1,5,always,sometimes,always,always,always,0,0,0,0,0,0,0
3,4,always,sometimes,sometimes,always,about half the time,0,1,0,0,1,0,1
2,4,always,sometimes,always,always,usually,0,1,0,NA,1,0,1
2,5,always,usually,usually,usually,usually,0,0,0,NA,NA,0,NA
1,4,always,seldom,always,always,sometimes,1,0,1,1,1,0,1
4,5,always,always,always,always,usually,0,0,0,0,0,0,0
1,4,always,always,usually,usually,sometimes,0,0,0,0,1,0,1
2,5,always,sometimes,always,always,about half the time,0,0,0,0,0,0,0
5,4,sometimes,never,usually,always,usually,0,0,0,0,0,0,0
4,3,always,seldom,about half the time,about half the time,sometimes,0,0,0,0,0,0,0
3,4,always,about half the time,usually,always,seldom,0,0,0,0,0,0,0
2,5,always,usually,always,always,always,0,0,0,NA,0,0,NA
2,4,always,about half the time,usually,always,always,1,1,0,0,1,0,1
2,5,about half the time,never,always,usually,about half the time,NA,1,1,1,1,1,1
2,4,always,usually,usually,always,sometimes,0,0,0,0,0,0,0
3,4,always,never,always,always,always,0,0,0,0,0,0,0
5,2,always,never,always,always,never,0,0,0,NA,NA,0,NA
1,2,always,usually,about half the time,usually,sometimes,0,0,0,0,0,0,0
4,3,always,sometimes,always,always,usually,0,0,0,0,0,0,0
4,4,always,about half the time,always,always,about half the time,NA,1,0,NA,NA,0,1
3,3,usually,never,usually,always,sometimes,0,0,0,0,0,0,0
1,3,always,sometimes,usually,always,about half the time,0,0,0,0,0,0,0
1,5,always,never,always,always,always,0,0,0,0,0,0,0
1,5,always,never,always,always,always,NA,NA,NA,NA,NA,0,NA
5,5,usually,seldom,always,always,about half the time,0,0,0,0,0,0,0
2,5,always,about half the time,usually,always,about half the time,0,0,0,NA,0,0,NA
5,4,always,about half the time,always,always,about half the time,0,0,0,NA,NA,0,NA
4,5,always,always,usually,always,usually,0,0,0,NA,0,0,NA
1,4,always,about half the time,seldom,never,usually,0,0,0,0,0,0,0
2,3,usually,sometimes,NA,usually,sometimes,0,0,0,0,0,0,0
4,4,always,always,sometimes,always,always,0,0,0,0,0,0,0
4,4,always,usually,always,always,always,0,1,0,NA,1,0,1
2,3,always,always,usually,always,about half the time,0,0,0,0,0,0,0
1,4,always,usually,about half the time,always,about half the time,0,0,0,0,0,0,0
1,5,always,usually,always,always,always,0,0,0,0,0,0,0
3,4,always,sometimes,usually,always,always,0,0,0,0,0,0,0
2,4,always,about half the time,always,always,always,0,0,0,NA,NA,0,NA
5,3,always,never,usually,always,about half the time,NA,1,1,NA,1,0,1
2,4,always,about half the time,always,always,usually,0,0,0,0,0,0,0
3,4,always,usually,always,always,usually,NA,0,NA,NA,NA,NA,NA
3,5,always,always,always,always,always,0,0,0,0,0,0,0
3,4,always,seldom,always,always,usually,0,0,0,0,1,0,1
1,3,always,always,about half the time,always,usually,0,0,0,NA,0,0,NA
4,5,always,seldom,always,always,always,0,1,0,0,0,0,1
2,5,always,never,always,always,always,0,0,0,NA,0,0,NA
2,5,always,always,sometimes,always,usually,0,0,0,NA,0,0,NA
4,4,usually,sometimes,usually,always,about half the time,0,0,0,NA,0,0,NA
6,4,always,always,usually,always,about half the time,0,1,0,1,0,0,1
1,5,always,about half the time,sometimes,always,about half the time,0,0,0,NA,0,0,NA
3,5,always,usually,always,always,about half the time,0,0,0,0,0,0,0
4,5,always,always,always,always,always,0,0,0,NA,0,0,NA
1,3,sometimes,never,about half the time,sometimes,about half the time,0,0,0,0,0,0,0
6,5,always,sometimes,always,always,always,1,0,0,NA,0,0,1
2,5,always,usually,always,always,always,0,0,0,0,0,0,0
5,4,always,seldom,always,always,about half the time,0,0,0,0,0,0,0
2,4,always,usually,usually,always,sometimes,1,1,1,0,1,0,1
3,4,usually,usually,usually,always,always,1,1,0,NA,1,0,1
2,4,always,always,always,always,usually,0,0,0,0,0,0,0
5,5,always,usually,never,always,about half the time,0,0,0,NA,0,0,NA
4,5,always,seldom,always,always,usually,0,0,0,NA,1,0,1
4,3,never,never,usually,usually,usually,0,0,0,0,0,0,0
1,3,always,never,always,always,always,NA,NA,NA,NA,NA,0,NA
3,4,always,usually,always,always,usually,0,1,1,1,0,0,1
1,5,always,always,sometimes,always,always,0,0,0,0,0,0,0
2,4,always,usually,about half the time,always,usually,0,0,0,0,NA,0,NA
3,4,usually,usually,always,usually,about half the time,0,0,0,0,0,0,0
2,4,always,usually,seldom,always,sometimes,0,0,0,0,0,0,0
2,4,always,usually,always,always,about half the time,0,0,0,0,0,0,0
2,4,usually,never,usually,about half the time,about half the time,0,0,0,0,0,0,0
2,5,always,never,always,always,always,0,0,0,0,0,0,0
2,5,always,about half the time,always,always,always,0,0,0,0,0,0,0
2,4,always,usually,always,always,about half the time,0,0,0,NA,1,0,1
1,4,sometimes,always,about half the time,never,usually,NA,0,0,NA,0,0,NA
3,4,always,seldom,always,usually,always,0,0,0,0,1,0,1
6,4,always,never,seldom,usually,sometimes,1,1,0,NA,1,0,1
3,4,always,usually,always,always,always,0,0,0,NA,0,NA,NA
3,3,always,usually,usually,always,usually,1,1,0,NA,0,0,1
2,4,always,usually,always,always,about half the time,0,0,0,NA,0,0,NA
2,5,always,seldom,always,always,about half the time,0,0,0,0,1,0,1
4,4,about half the time,sometimes,seldom,always,usually,0,1,0,NA,1,0,1
4,4,always,usually,always,always,usually,0,0,0,0,0,0,0
2,4,always,usually,seldom,always,sometimes,0,0,0,0,0,0,0
3,3,always,never,usually,usually,usually,0,0,0,NA,NA,0,NA
2,3,always,seldom,seldom,always,about half the time,0,0,0,0,1,0,1
2,4,always,about half the time,about half the time,always,usually,0,0,0,0,0,0,0
2,4,always,never,always,always,about half the time,0,0,0,0,0,0,0
4,5,always,always,usually,always,always,0,0,0,NA,NA,0,NA
3,4,always,usually,always,always,usually,0,1,0,NA,NA,0,1
3,5,always,usually,always,always,always,0,0,0,0,0,0,0
2,5,always,always,about half the time,always,seldom,0,0,0,NA,0,0,NA
1,5,always,usually,always,always,usually,0,0,0,0,0,0,0
3,5,always,sometimes,always,always,always,0,1,0,NA,1,0,1
5,5,always,usually,never,always,sometimes,0,0,0,0,0,0,0
2,5,always,never,always,always,sometimes,0,0,0,0,0,0,0
2,3,usually,never,always,always,about half the time,0,0,0,0,0,0,0
2,4,always,about half the time,always,always,about half the time,0,1,0,0,0,0,1
2,5,always,usually,always,always,usually,0,0,0,0,0,0,0
2,4,always,never,always,usually,never,0,0,0,0,0,0,0
3,3,always,usually,always,always,about half the time,0,0,0,0,0,0,0
2,3,always,always,about half the time,always,always,0,0,0,NA,0,0,NA
3,4,always,sometimes,always,always,usually,0,1,0,NA,1,0,1
2,4,always,usually,never,always,always,0,0,0,0,0,0,0
3,3,always,about half the time,usually,always,seldom,0,0,0,0,0,0,0
1,5,always,about half the time,always,always,about half the time,0,0,0,0,0,0,0
5,5,always,seldom,always,always,seldom,NA,0,1,NA,1,0,1
3,4,usually,always,usually,always,about half the time,0,0,0,NA,0,0,NA
3,3,always,about half the time,always,always,seldom,0,0,0,0,0,0,0
3,5,always,seldom,always,always,usually,NA,0,0,NA,0,0,NA
2,4,usually,never,sometimes,usually,about half the time,NA,0,NA,NA,NA,0,NA
3,5,always,never,always,always,usually,1,1,1,1,1,0,1
2,4,usually,seldom,about half the time,about half the time,seldom,0,0,0,0,0,0,0
4,5,always,never,always,always,always,0,0,0,0,1,0,1
2,5,always,always,always,always,always,0,0,0,0,0,0,0
2,3,always,about half the time,about half the time,seldom,about half the time,0,0,0,0,0,0,0
1,4,always,usually,seldom,always,sometimes,0,0,0,0,0,0,0
1,4,always,usually,usually,always,always,0,0,0,0,0,0,0
4,4,always,never,never,usually,sometimes,0,0,0,0,0,0,0
1,5,always,never,usually,always,about half the time,0,0,0,0,0,0,0
3,4,about half the time,never,sometimes,usually,about half the time,0,0,0,0,0,0,0
1,3,usually,seldom,always,always,about half the time,NA,0,NA,NA,0,NA,NA
2,4,always,usually,usually,always,usually,0,0,0,0,0,0,0
6,5,usually,sometimes,always,always,always,0,0,0,0,1,0,1
3,4,always,usually,always,always,about half the time,0,0,0,0,1,0,1
1,4,always,seldom,always,always,always,0,0,0,0,0,0,0
3,4,usually,always,usually,usually,always,NA,NA,NA,NA,0,0,NA
3,3,always,sometimes,usually,always,usually,0,0,0,0,1,0,1
2,3,always,seldom,always,always,always,0,0,0,0,0,0,0
1,5,always,never,always,always,about half the time,1,1,1,NA,1,0,1
5,4,always,sometimes,usually,usually,about half the time,0,0,0,0,0,0,0
2,4,seldom,never,usually,seldom,seldom,NA,1,NA,1,1,0,1
2,4,always,usually,never,seldom,usually,0,0,0,0,0,0,0
4,4,always,usually,always,always,usually,0,0,0,0,0,0,0
1,2,always,never,never,always,never,0,1,0,0,0,0,1
5,5,always,about half the time,always,always,usually,0,0,0,0,0,0,0
2,4,always,seldom,always,always,always,0,0,0,0,0,0,0
2,4,always,about half the time,usually,always,about half the time,0,0,0,0,0,0,0
6,5,always,always,always,always,about half the time,0,0,0,0,0,0,0
2,5,always,sometimes,usually,always,about half the time,0,0,0,0,0,0,0
3,5,always,seldom,never,always,always,0,1,0,0,0,0,1
3,4,always,about half the time,always,always,usually,0,0,0,0,0,0,0
3,4,about half the time,never,never,about half the time,sometimes,0,0,0,0,0,0,0
1,4,always,seldom,always,always,always,0,0,0,NA,0,0,NA
2,5,always,always,always,always,about half the time,0,0,0,NA,0,0,NA
2,3,always,seldom,always,always,about half the time,0,1,0,0,0,0,1
2,4,always,usually,seldom,always,about half the time,0,0,0,0,1,0,1
3,4,always,usually,always,always,seldom,0,1,0,0,1,0,1
1,4,always,seldom,always,always,always,0,0,0,0,0,0,0
4,5,always,about half the time,always,always,about half the time,1,0,0,NA,0,0,1
2,4,always,about half the time,usually,usually,seldom,0,0,0,0,1,0,1
3,4,always,usually,never,always,about half the time,0,1,0,NA,1,NA,1
2,5,always,always,seldom,always,seldom,0,0,0,0,0,0,0
2,5,always,about half the time,always,always,usually,0,0,0,0,0,0,0
1,4,always,seldom,usually,always,usually,0,0,0,0,0,0,0
6,3,always,never,always,always,about half the time,NA,0,0,0,1,0,1
2,4,usually,usually,usually,always,about half the time,0,0,0,0,0,0,0
2,5,always,always,sometimes,seldom,sometimes,0,0,0,0,0,0,0
2,4,always,seldom,always,always,seldom,0,0,0,0,0,0,0
5,3,always,sometimes,always,always,usually,0,0,0,0,0,0,0
3,5,always,usually,always,always,sometimes,1,0,1,NA,NA,0,1
3,5,usually,always,usually,always,about half the time,0,0,0,NA,0,0,NA
2,4,always,never,always,always,about half the time,0,0,0,0,0,0,0
6,5,always,always,always,always,always,NA,0,0,0,0,0,NA
3,5,always,always,always,always,about half the time,0,0,0,0,0,0,0
2,4,always,about half the time,usually,always,usually,0,0,0,0,0,0,0
3,4,usually,sometimes,about half the time,always,usually,0,0,0,NA,0,0,NA
5,4,always,seldom,usually,usually,about half the time,NA,0,0,NA,0,1,1
1,5,always,usually,always,always,about half the time,0,0,0,0,1,0,1
3,4,always,usually,seldom,about half the time,usually,0,1,0,NA,0,0,1
2,4,usually,about half the time,always,always,usually,0,0,0,0,0,0,0
1,4,usually,always,usually,usually,about half the time,0,0,0,0,0,0,0
4,5,always,always,sometimes,always,about half the time,0,1,0,NA,NA,0,1
1,4,always,usually,always,always,always,0,0,0,0,0,0,0
3,3,always,never,sometimes,always,about half the time,0,0,0,NA,0,0,NA
2,4,usually,usually,always,never,always,0,0,0,NA,0,0,NA
2,5,usually,usually,usually,always,always,0,0,0,0,0,0,0
2,4,usually,seldom,about half the time,usually,seldom,1,1,0,0,0,0,1
1,3,usually,usually,usually,always,about half the time,0,0,0,NA,NA,0,NA
2,4,usually,usually,always,always,usually,0,0,0,0,0,0,0
2,5,always,seldom,always,always,usually,0,0,0,0,0,0,0
2,5,always,usually,always,always,usually,0,0,0,0,0,0,0
3,3,always,always,always,always,about half the time,0,0,0,0,0,0,0
2,5,always,always,always,always,always,0,0,0,0,0,0,0
6,4,always,usually,usually,always,usually,0,0,0,0,0,0,0
2,5,always,seldom,always,always,always,1,1,1,1,1,0,1
2,5,always,never,always,always,always,0,0,0,0,0,0,0
6,3,always,never,about half the time,sometimes,seldom,0,0,0,0,0,0,0
4,4,always,usually,usually,sometimes,sometimes,0,0,0,0,1,0,1
3,5,always,never,seldom,sometimes,about half the time,0,0,0,0,0,0,0
4,3,usually,never,never,always,about half the time,NA,1,NA,NA,0,0,1
2,5,always,sometimes,about half the time,always,usually,0,0,0,0,0,0,0
2,4,always,sometimes,always,always,usually,0,0,0,NA,0,0,NA
3,4,always,usually,about half the time,always,about half the time,0,0,0,NA,1,0,1
2,4,always,seldom,usually,always,usually,0,0,0,0,0,0,0
3,4,usually,never,usually,always,sometimes,NA,1,NA,NA,1,0,1
1,5,always,always,always,always,about half the time,0,0,0,NA,1,0,1
2,4,always,always,always,always,always,0,0,0,0,0,0,0
2,4,always,usually,usually,always,usually,0,0,0,0,0,0,0
2,3,usually,usually,seldom,usually,seldom,0,0,0,0,0,0,0
3,5,always,about half the time,always,always,always,0,0,0,NA,1,0,1
3,5,always,seldom,always,always,always,NA,0,0,0,NA,0,NA
3,4,always,usually,always,always,sometimes,0,0,0,0,0,0,0
2,4,always,always,sometimes,about half the time,always,0,0,0,0,0,0,0
3,5,always,never,always,always,usually,0,0,NA,0,0,0,NA
3,4,always,about half the time,always,always,about half the time,0,0,0,0,0,0,0
1,4,always,always,always,always,always,0,0,0,0,0,0,0
3,3,always,seldom,about half the time,always,usually,0,0,0,0,0,0,0
4,4,always,never,always,always,usually,0,0,0,0,0,0,0
2,3,usually,sometimes,usually,usually,always,0,0,0,NA,0,0,NA
2,5,always,usually,never,always,always,1,1,0,0,1,0,1
4,3,always,seldom,always,always,about half the time,0,0,0,0,0,0,0
